一 eins
善 das Gute
年 Jahr
夜 Nacht
液 Flüssigkeit
塚 Haufen
幣 Geldschein
弊 Unsitte
喚 kreischen
換 austauschen
融 auflösen
施 Almosen
旋 Drehung
遊 spielen
旅 Reise
勿 ohne
物 Ding
易 Leichtigkeit
賜 gewähren
尿 Urin
尼 Nonne
泥 Schlamm
塀 Zaun
履 Fußbekleidung
屋 Dach
握 greifen
屈 sich beugen
掘 graben
堀 Graben
居 sich aufhalten
据 aufstellen
層 Schicht
局 Behörde
遅 verspäten
漏 Leck
刷 drucken
尺 Shaku
尽 aufbrauchen
沢 Sumpf
訳 übersetzen
択 auswählen
昼 tagsüber
戸 Tür
肩 Schulter
房 Büschel
扇 Fächer
炉 Herd
戻 zurückbringen
涙 Träne
雇 Anstellung
顧 zurückblicken
啓 offenbaren
示 zeigen
礼 Dank
祥 verheißungsvoll
祝 feiern
福 Segen
祉 Wohlfahrt
社 Gesellschaft
視 betrachten
奈 Nara
尉 Offizier
慰 trösten
款 Wohlwollen
禁 Verbot
襟 Kragen
宗 Religion
崇 verehren
祭 Ritual
察 raten
擦 schrammen
由 beruhen auf
抽 Ziehung
油 Öl
袖 Ärmel
宙 schwebend
届 benachrichtigen
笛 Flöte
軸 Achse
甲 Panzerung
押 drücken
岬 Landzunge
挿 einfügen
申 sich äußern
伸 sich recken
神 Gottheit
捜 suchen
果 Obst
菓 Naschwerk
課 Lektion
裸 nackt
斤 Axt
析 auseinander nehmen
所 Stelle
祈 beten
近 nah
折 falten
哲 Philosophie
逝 ableben
誓 schwören
暫 vorübergehend
漸 allmählich
断 abschneiden
質 Substanz
斥 ablehnen
訴 Anklage
昨 gestern
詐 lügen
作 machen
雪 Schnee
録 aufzeichnen
尋 sich erkundigen
急 eilig
穏 Stille
侵 eindringen
浸 eintauchen
寝 sich hinlegen
婦 Dame
掃 fegen
当 treffen
争 streiten
浄 sauber
事 Sache
唐 Tang-Dynastie
糖 Zucker
康 Seelenfrieden
逮 festnehmen
伊 Italien
君 du
群 Herde
耐 -fest
需 Nachfrage
儒 Konfuzianismus
端 Rand
両 beide
満 voll
画 Pinselstrich
歯 Zahn
曲 biegen
曹 Kamerad
遭 stoßen auf
漕 rudern
槽 Bottich
斗 Großer Wagen
料 Gebühr
科 Fakultät
図 Landkarte
用 gebrauchen
庸 mäßig
備 ausrüsten
昔 Es war einmal...
錯 verworren
借 entleihen
惜 schade
措 beiseite legen
散 zerstreuen
廿 zwanzig
庶 gewöhnlich
遮 blockieren
席 Sitz
度 Grad
渡 überqueren
奔 herumlaufen
噴 speien
墳 Grabhügel
憤 empört
焼 backen
暁 Tagesanbruch
半 Hälfte
伴 begleiten
畔 Feldrain
判 urteilen
券 -karte
巻 Rolle
圏 Sphäre
勝 Sieg
藤 Glyzinie
謄 Abschrift
片 einseitig
版 Druckplatte
之 von
乏 knapp
芝 Rasen
不 negativ
否 verneinen
杯 Becher
矢 Wurfpfeil
矯 begradigen
族 Sippe
知 wissen
智 Weisheit
矛 Hellebarde
柔 sanft
務 Aufgabe
霧 Nebel
班 Trupp
帰 heimkehren
弓 Bogen
引 ziehen
弔 Beileid
弘 verbreiten
強 stark
弱 schwach
沸 sieden
費 Kosten
第 Nr.
弟 jüngerer Bruder
巧 gewandt
号 Chiffre
朽 vermodern
誇 prahlen
汚 schmutzig
与 erteilen
写 kopieren
身 Leib
射 schießen
謝 sich entschuldigen
老 alter Mann
考 erwägen
孝 Kindespflicht
教 lehren
拷 foltern
者 Person
煮 brodeln
著 auffallend
署 unterschreiben
暑 drückend
諸 allerlei
猪 Wildschwein
渚 Strand
賭 wetten
峡 Schlucht
狭 eng
挟 eingeklemmt
追 verfolgen
師 Meister
帥 Oberbefehl
官 Bürokrat
棺 Sarg
管 Rohr
父 Vater
交 Umgang
効 Wirkung
較 gegenüberstellen
校 Schule
足 Bein
促 anregen
距 Distanz
路 Pfad
露 Tautropfen
跳 hüpfen
躍 springen
践 besteigen
踏 betreten
骨 Gebeine
滑 glatt
髄 Mark
禍 Unheil
渦 Strudel
過 übertreiben
阪 Böschung
阿 Afrika
際 Gelegenheit
障 hemmen
随 folgsam
陪 Beisitzer
陽 Sonnenschein
陳 Aufstellung
防 abwehren
附 Anhang
院 Inst.
陣 Feldlager
隊 Regiment
墜 abstürzen
降 hinuntergehen
階 Stockwerk
陛 Majestät
隣 nebenan
隔 isolieren
隠 verbergen
堕 degenerieren
陥 hineinfallen
穴 Loch
空 leer
控 sich zurückhalten
突 stechen
究 forschen
窒 verstopft
窃 verstohlen
窪 Senke
搾 auspressen
窯 Brennofen
窮 in der Klemme
探 ertasten
深 tief
丘 Hügel
岳 Bergspitze
兵 Soldat
浜 Küste
糸 Faden
織 weben
繕 ausbessern
縮 schrumpfen
繁 üppig
縦 senkrecht
線 Linie
締 zuschnüren
維 Faser
羅 Seidengaze
練 üben
緒 Schnurende
続 fortsetzen
絵 Bild
統 vereinen
絞 wringen
給 Gehalt
絡 sich verflechten
結 binden
終 Ende
級 Klasse
紀 Chronik
紅 knallrot
納 einzahlen
紡 spinnen
紛 ablenken
紹 vorstellen
経 Sutra
紳 Gentleman
約 Versprechen
細 fein
累 anhäufen
索 Seil
総 General-
綿 Baumwolle
絹 Seide
繰 aufwinden
継 erben
緑 grün
縁 Beziehung
網 Netz
緊 angespannt
紫 violett
縛 Fesseln
縄 Strohseil
幼 Kindheit
後 hinter
幽 undeutlich
幾 wie viel
機 Mechanismus
玄 mysteriös
畜 Vieh
蓄 speichern
弦 Bogensehne
擁 umarmen
滋 nahrhaft
慈 Mildtätigkeit
磁 Magnet
系 Stammbaum
係 zuständig
孫 Enkel
懸 Aufhängung
却 stattdessen
脚 Schienbein
卸 Großhandel
御 ehrwürdig
服 Kleidung
命 Schicksal
令 Befehl
零 Null
齢 Alter
冷 kühl
領 Hoheitsgebiet
鈴 Glöckchen
勇 Mut
通 Verkehr
踊 tanzen
疑 zweifeln
擬 nachahmen
凝 erstarren
範 Muster
犯 Verbrechen
厄 Unglück
危 gefährlich
